Grandeza;Resol.;TAG;Faixa;Criterio de aceitação - % da leitura;Criterio de aceitação - % da faixa;Criterio de aceitação - Valor absoluto
Balança (kg);0,005;2980DOM;;0,50%;; 0,01 
Tensão (V);0,01;2935DOM;;1,00%;;
Máxima pressão (kPa);0,001;1205DOM;;5,00%;;
Mínima pressão (kPa);0,001;;;5,00%;;
Temperatura de entrada min. (°C);0,01;1205DOM;;;; 0,50 
Temperatura de entrada máx. (°C);0,01;;;;; 0,50 
Cronômetro (s);1;3378LAV;;;; 1,00 
Energia água fria (kWh);0,00063;3018DOM;;1,00%;;
Energia água quente (kWh);0,00063;;;1,00%;;
Volume água fria (L);0,01;2988LAV;;1,00%;;
Volume água quente (L);0,01;;;1,00%;;
Datacolor água fria;0,01;2952DOM;;;; 0,50 
Datacolor água quente;0,01;;;;; 0,50 
Balança analítica (g);0,0001;1315QUI;;;; 0,00 
Balão volumétrico (mL);0,01;1891QUI;;;; 0,80 
Pipeta / Proveta (mL);0,01;3113QUI;;;; 0,05 
Padrão de cálcio (mmol/L);0,01;1890QUI;;;; 0,80 
-;0,08;1648QUI;;;; 0,08 
Água fria - Balança (kg);0,005;2980DOM;;0,50%;; 0,01 
Água quente - Balança (kg);0,005;2980DOM;;0,50%;; 0,01 